window,train_size,test_size,accuracy,macro_f1,log_loss,auc_roc
Train to 2010,6090,3965,0.5303909205548549,0.4760182869107143,1.1722077935765507,0.6895897836902728
Train to 2014,10056,3770,0.543236074270557,0.4850186045276206,1.1126924685626005,0.692559943728207
Train to 2018,13826,4080,0.571813725490196,0.5056452088799457,1.0087956305205432,0.717213785966451
Train to 2022,17906,3465,0.5676767676767677,0.507656982760445,0.9997994275019823,0.7150463028897955
