model,accuracy,macro_f1,log_loss,acc_class_0,acc_class_1,acc_class_2,auc_roc_ovr
LightGBM_tuned_balanced,0.5705679862306369,0.5382691696293976,0.90387128184142,0.650355871886121,0.36044362292051757,0.6069802731411229,0.7278765058029415
CatBoost_tuned_balanced,0.5666953528399311,0.5371360555207361,0.896482370097504,0.6459074733096085,0.3733826247689464,0.590288315629742,0.7326574268940259
LightGBM_tuned,0.6054216867469879,0.4736132333606419,0.8703737267626849,0.8692170818505338,0.05545286506469501,0.6069802731411229,0.7331526598908148
CatBoost_tuned,0.6067125645438899,0.45526909398124776,0.8626751452525204,0.8896797153024911,0.02033271719038817,0.6054628224582701,0.7376449358054457
LightGBM_cal,0.6049913941480206,0.4538510541481971,0.8657846557098183,0.8816725978647687,0.02033271719038817,0.6130500758725341,0.7348806324614127
CatBoost_cal,0.6058519793459552,0.44842462698059543,0.8749258004933134,0.895017793594306,0.011090573012939002,0.6009104704097117,0.7379831887870502
CalibratedEnsemble,0.6024096385542169,0.44842399409552,0.861300346735101,0.8843416370106761,0.014787430683918669,0.6039453717754173,0.7379918159825355
XGBoost_cal,0.5963855421686747,0.4465808719990629,0.8867463335337693,0.8994661921708185,0.025878003696857672,0.5477996965098634,0.7194595352367633
HistGBM_cal,0.6041308089500861,0.4393784818522983,0.8815723944294546,0.9083629893238434,0.0018484288354898336,0.5796661608497724,0.7232416334507247
